ISO3 Country Code,Country Name,Population,Tier,Grid Expenditure ($m/yr),Grid CO2 Emissions (t/yr),Offgrid Type,Lighting Type Description,Offgrid Expenditure ($m/yr),Offgrid Capital Costs ($m),Offgrid CO2 Emissions (t/yr),Nonsolid Expenditure ($m/yr),Nonsolid CO2 Emissions (t/yr),Solid Type,Cooking Type Description,Solid Expenditure ($m/yr),Solid Capital Costs ($m),Solid CO2_Emissions (t/yr),Info
#country+code,#country+name,#population+num,#indicator+tier,#indicator+value+grid+expenditure,#indicator+value+grid+co2_emissions,#indicator+type+offgrid,#indicator+text+lighting,#indicator+value+offgrid+expenditure,#indicator+value+offgrid+capital_costs,#indicator+value+offgrid+co2_emissions,#indicator+value+nonsolid+expenditure,#indicator+value+nonsolid+co2_emissions,#indicator+type+solid,#indicator+text+cooking,#indicator+value+solid+expenditure,#indicator+value+solid+capital_costs,#indicator+value+solid+co2_emissions,#meta+info
NPL,Nepal,3221,Target 3,0.006149250487466239,0.07379100584959486,7,,0.0001369031531105536,0.007546551163023877,0.5228258308698743,0.0274001403213048,45.05800852836789,8,,0.05632010529877041,0.017006720499467297,49.951335304563756,
NRU,Nauru,379,Baseline,0.015327295143500638,30.654590287001277,1,Torch dependent,0.0002945884992510479,1.2960409271888554e-05,0.08578717718175774,0.0030624488212645158,5.036026950523869,2,Firewood/charcoal mix,0.003967092774771964,0.0002739390718938828,136.09189250701814,"ur(001)=0.531,elco2(057)=0.5,elac(057)=913,nsac(057)=913"
NRU,Nauru,379,Target 1,0.015327295143500638,30.654590287001277,1,Solar dependent,7.481717198086981e-05,0.00038259732372699745,0.18186418682051414,0.0030624488212645158,5.036026950523869,2,Firewood/charcoal mix,0.002072801819439619,0.0023955355316507055,75.28104261945347,"ur(001)=0.531,elco2(057)=0.5,elac(057)=913,nsac(057)=913"
NRU,Nauru,379,Target 2,0.015327295143500638,30.654590287001277,3,Solar dependent,1.4286467391581933e-05,0.0015422043125971152,0.05455925604615424,0.0030624488212645158,5.036026950523869,7,LPG II,0.0038381359034735814,0.002373109727311827,53.941706628270204,"ur(001)=0.531,elco2(057)=0.5,elac(057)=913,nsac(057)=913"
NRU,Nauru,379,Target 3,0.015327295143500638,30.654590287001277,7,,8.033549780460987e-05,0.004428356327921169,0.3067969760646974,0.0030624488212645158,5.036026950523869,8,,0.012573585810362132,0.0037967872825970246,11.15174407899795,"ur(001)=0.531,elco2(057)=0.5,elac(057)=913,nsac(057)=913"
NZL,New Zealand,776,Baseline,0.045664528792114134,91.32905758422827,1,Torch dependent,0.0,0.0,0.0,0.014254255949151761,23.44033200527178,2,Firewood/charcoal mix,0.0006487243794562794,4.479626883276088e-05,22.254616548694372,"ur(001)=0.531,elap(053)=1.18e+03,lpg(053)=1.18e+03"
NZL,New Zealand,776,Target 1,0.045664528792114134,91.32905758422827,1,Solar dependent,0.0,0.0,0.0,0.014254255949151761,23.44033200527178,2,Firewood/charcoal mix,0.00033895780875180275,0.00039173328920317515,12.310437499393721,"ur(001)=0.531,elap(053)=1.18e+03,lpg(053)=1.18e+03"
NZL,New Zealand,776,Target 2,0.045664528792114134,91.32905758422827,3,Solar dependent,0.0,0.0,0.0,0.014254255949151761,23.44033200527178,7,LPG II,0.0006276365272029438,0.00038806607826823977,8.82089281646526,"ur(001)=0.531,elap(053)=1.18e+03,lpg(053)=1.18e+03"
NZL,New Zealand,776,Target 3,0.045664528792114134,91.32905758422827,7,,0.0,0.0,0.0,0.014254255949151761,23.44033200527178,8,,0.002056113157786264,0.0006208749362993735,1.8236045054224959,"ur(001)=0.531,elap(053)=1.18e+03,lpg(053)=1.18e+03"
OMN,Oman,464,Baseline,0.016521908459224362,39.45431740062778,1,Torch dependent,0.0,0.0,0.0,0.02653328006055435,43.63250498846716,2,Firewood/charcoal mix,0.00038753346406588383,2.6760291100107155e-05,13.294411179370073,"ur(145)=0.274,elap(145)=713,lpg(145)=713"
